Pedido;SKU;DataSolicitacao;DataExpedicao;Qtd;Status;Transportadora;Episodio;Destino
20000;EPI0249;02/03/2023;03/03/2023;18;Faturado;VelozLog;Recebimento Parcial;Rio-049
20001;EPI0472;18/08/2023;21/08/2023;13;Faturado;TransBrasil;Endereçamento Automático;São Paulo-050
20002;EPI0210;17/03/2024;18/03/2024;22;Aguardando;VelozLog;Produto Próximo ao Vencimento;Rio-069
20003;EPI0375;27/10/2023;29/10/2023;7;Faturado;LogiExpress;Devolução por Desistência;Brasília-037
20004;EPI0415;04/12/2024;07/12/2024;45;Faturado;VelozLog;Recebimento Parcial;BH-097
20005;EPI0241;04/06/2024;04/06/2024;61;Faturado;TransBrasil;Inventário Cíclico;Rio-002
20006;EPI0474;03/03/2024;06/03/2024;69;Faturado;TransBrasil;Entrada em Quarentena;BH-024
20007;EPI0301;13/11/2023;13/11/2023;7;Faturado;VelozLog;Divergência de Validade;Curitiba-031
20008;EPI0107;12/02/2024;13/02/2024;6;Faturado;VelozLog;Recebimento Parcial;Brasília-091
20009;EPI0340;29/03/2024;31/03/2024;5;Faturado;CargasRápidas;Embalagem com Lacre;Brasília-048
20010;EPI0132;12/03/2025;13/03/2025;15;Faturado;CargasRápidas;Devolução por Troca;Curitiba-025
20011;EPI0308;10/11/2023;13/11/2023;39;Faturado;CargasRápidas;Divergência de Quantidade;BH-094
20012;EPI0411;15/05/2024;16/05/2024;16;Faturado;LogiExpress;Recebimento Normal;Curitiba-064
20013;EPI0347;27/11/2023;28/11/2023;52;Aguardando;TransBrasil;Embalagem com Etiqueta de Transporte;São Paulo-043
20014;EPI0147;10/07/2023;11/07/2023;26;Faturado;VelozLog;Produto Próximo ao Vencimento;Brasília-051
20015;EPI0025;18/12/2024;18/12/2024;50;Faturado;TransBrasil;Produto Substituído;Brasília-017
20016;EPI0159;25/11/2023;28/11/2023;40;Aguardando;LogiExpress;Inventário com Divergência;São Paulo-073
20017;EPI0188;22/12/2023;25/12/2023;30;Faturado;VelozLog;Devolução por Desistência;BH-073
20018;EPI0266;03/03/2023;04/03/2023;31;Faturado;TransBrasil;Recebimento Parcial;Curitiba-004
